timestep,raw_value,voltage_V,tds_ppm
1117,94,0.459,199.6
1118,94,0.459,199.6
1119,94,0.459,199.6
1120,94,0.459,199.6
1121,94,0.459,199.6
1122,93,0.454,197.4
1123,94,0.459,199.6
1124,93,0.454,197.4
1125,94,0.459,199.6
1126,93,0.454,197.4
1127,94,0.459,199.6
1128,94,0.459,199.6
1129,93,0.454,197.4
1130,94,0.459,199.6
1131,94,0.459,199.6
1132,93,0.454,197.4
1133,94,0.459,199.6
1134,94,0.459,199.6
1135,93,0.454,197.4
1136,93,0.454,197.4
1137,94,0.459,199.6
1138,94,0.459,199.6
1139,94,0.459,199.6
1140,94,0.459,199.6
